event_id,run_number,feature_acc_norm,device_name,temporal_water_emergency,timestamp,files,feature_pitch,platform,feature_roll,feature_gyr_norm,push_attempted,temporal_free_fall,file_count,push_success,temporal_impact,temporal_stable_duration_ms,state,type,ts,event_type,sync_triggered,feature_jerk,feature_stability,reason,push_sent,device_uid,snapshot_id
0c42de8d-909c-4072-9626-88231933f44b,8,1.210860274697842,Test27,False,2026-04-16T07:49:22.262000,,-0.668342816852314,ios,-0.9641772381061671,0.7806548010570973,True,False,,False,True,0,UNSTABLE,,,EMERGENCY,True,4.304877093173136,9.379794526359255,impact,,b3895c34-8439-4fa7-8d03-4dfedf800f53,d7e76f7d-b990-42fc-aa99-86a2b13bac77
f0b99864-1ad2-4c08-a052-ecc894a7ad8c,7,0.9650675681265067,Test27,False,2026-04-16T07:49:21.221000,,-0.6081688167895292,ios,-0.9611253486959097,0.36333992819871,True,False,,False,False,163981,STILL,,,GRACEFUL,True,-5.8017905993761726e-05,9.208272360072204,stable_window,,b3895c34-8439-4fa7-8d03-4dfedf800f53,0bbad05c-1497-4e1a-8b71-a11da8aa56bb
6eae2a7f-c18c-48de-929f-91ab54c60ae8,6,2.408353237723048,Test27,False,2026-04-16T07:46:36.033000,,0.16698671876568738,ios,-0.9706659576948486,0.9043917273439467,True,False,,False,True,0,UNSTABLE,,,EMERGENCY,True,18.216737491871612,8.3060384896209,impact,,b3895c34-8439-4fa7-8d03-4dfedf800f53,c952941b-0ec7-4fe1-b926-609d6e6944f1
541ccb12-1835-4d58-a293-07f38f566602,5,1.18783182576765,Test27,False,2026-04-16T07:46:35.734000,,0.1632043847369966,ios,-1.0361732771345482,1.47419671341005,True,False,,False,True,0,UNSTABLE,,,EMERGENCY,True,10.69338870271151,10.0963648876424,impact,,b3895c34-8439-4fa7-8d03-4dfedf800f53,f1b2e3ac-1d6c-4f6c-84db-dcbe179d20ee
df3b513e-970a-4aa2-9f4e-daa11ba42514,4,1.4167711303538417,Test27,False,2026-04-16T07:46:33.178000,,-0.06932474325414219,ios,-1.1038358778819348,1.9334328963274021,True,False,,False,True,0,UNSTABLE,,,EMERGENCY,True,4.423027119886194,10.32666176597356,impact,,b3895c34-8439-4fa7-8d03-4dfedf800f53,74f61c37-0bd8-49dc-8bcd-694480af9b74
68981ec3-3396-4afe-9ef7-48029f0ccc40,3,1.124851340441353,Test27,False,2026-04-16T07:46:32.868000,,-0.1587349606459374,ios,-1.2563539674643431,2.738512809058029,True,False,,False,True,0,UNSTABLE,,,EMERGENCY,True,5.57899116346155,11.423661468616677,impact,,b3895c34-8439-4fa7-8d03-4dfedf800f53,30fb10f0-5d30-4d26-816e-23612e9ac02e
94771e60-19df-40cc-83ac-26daefdcda18,2,1.13468469037218,Test27,False,2026-04-16T07:46:30.413000,,-0.11837264686840111,ios,-2.107564528623832,0.3172851051968952,True,False,,False,True,0,UNSTABLE,,,EMERGENCY,True,3.5789048885034025,8.992600414824715,impact,,b3895c34-8439-4fa7-8d03-4dfedf800f53,0e6e1448-a2a2-4273-bb43-4f767bfaadb1
50a537e7-e3f1-4ee8-9113-1038c40d0f15,1,0.9593309243921654,Test27,False,2026-04-16T07:46:28.795000,,0.27601127328840386,ios,-1.5987823264244894,0.29456389837165603,True,False,,False,False,1974377,STILL,,,GRACEFUL,True,-1.6749588016449814e-05,9.14523297397949,stable_window,,b3895c34-8439-4fa7-8d03-4dfedf800f53,74a3d81a-8c55-44a7-9012-54907ac2b589
c1e827cd-a192-4bfb-84b5-bac62958c698,,0.9940042567023425,Test27,False,2026-04-15T18:34:40.126000,,-0.004909623374405373,ios,-1.7346266776727763,0.009793665470025267,True,False,,False,False,2417,STILL,,,GRACEFUL,True,0.022771473623057228,8.825789408767683,stable_window,,b3895c34-8439-4fa7-8d03-4dfedf800f53,7ca0fdde-77de-4e1b-891d-174005b1817c
44aaa9d1-c962-46d3-bdd1-bd1820694382,,0.913215782905031,Test27,False,2026-04-15T18:34:37.430000,,0.22226779601685231,ios,-1.530047746483245,1.618164205334091,True,False,,False,True,0,UNSTABLE,,,EMERGENCY,True,4.708013245425289,10.514948422429061,impact,,b3895c34-8439-4fa7-8d03-4dfedf800f53,d4b5a3ac-9a3f-4017-9757-209fe9007c73
5c3db9f8-db66-40d8-83ea-baec94d1395d,,0.9910931202035475,Test27,False,2026-04-15T18:34:34.627000,,0.06550845374820487,ios,-1.3870783266430755,0.030950612747935705,True,False,,False,False,1534,STILL,,,GRACEFUL,True,0.026131622056280994,8.849857492544388,stable_window,,b3895c34-8439-4fa7-8d03-4dfedf800f53,799a7657-167e-4bff-93bb-86dd9a5b730c
18a09deb-b330-44ff-859d-cd1b520aab58,,0.9875166365382523,Test27,False,2026-04-15T18:34:31.817000,,0.214422382278577,ios,-1.3516250118651163,0.24259238789555707,True,False,,False,False,7301,STILL,,,GRACEFUL,True,6.345832422856984e-05,9.065075751357305,stable_window,,b3895c34-8439-4fa7-8d03-4dfedf800f53,c1f1221d-3cab-48ed-9c05-afdde71a9c99
3172fa17-35db-4276-9d90-68c28a741501,,0.8689888086288539,Test27,False,2026-04-15T18:34:24.353000,,0.3995213353801706,ios,-0.71985258818038,0.9551872311241296,True,False,,False,True,0,UNSTABLE,,,EMERGENCY,True,4.186698301298556,9.896198422495276,impact,,b3895c34-8439-4fa7-8d03-4dfedf800f53,9a7f005b-efe0-41b1-b9ab-f8b3acdb1ac8
e4574e05-d702-41ce-87e5-0eff17b6332c,,0.9913941739376497,Test27,False,2026-04-15T18:34:16.767000,,0.06342572691203771,ios,-2.064220072516052,0.05530974929622695,True,False,,False,False,1534,STILL,,,GRACEFUL,True,0.02300248410461377,8.873915575358577,stable_window,,b3895c34-8439-4fa7-8d03-4dfedf800f53,5777b451-0ea7-46d2-94e7-6552d2a42a79
ddaff357-50b2-4b7f-b403-6dbefde97829,,0.995097102260745,Test27,False,2026-04-15T18:33:37.155000,,-0.2434562332612274,ios,-2.907203575205395,0.024568551270915596,True,False,,False,False,1534,STILL,,,GRACEFUL,True,0.006172500757499291,8.839471449010171,stable_window,,b3895c34-8439-4fa7-8d03-4dfedf800f53,9a0179be-3a7c-4eb9-8fb3-a7cc4ff5e0f9
eec7ea93-b4d1-4be8-8b3a-095e521d3696,,1.0079158556618535,Test27,False,2026-04-15T18:33:32.214000,,-0.1466804091759526,ios,-2.095280858450967,0.11559553483842067,True,False,,False,False,2558,STILL,,,GRACEFUL,True,0.10768373222469815,8.917679679176569,stable_window,,b3895c34-8439-4fa7-8d03-4dfedf800f53,eea7ee6d-e17d-4db4-932d-b06d1e9a5395
a13f73c1-2d18-484e-895d-a150109d6e58,,1.05103368751975,Test27,False,2026-04-15T18:33:29.536000,,-0.4401424373636154,ios,-2.090737757764389,0.4031126683591786,True,False,,False,True,0,UNSTABLE,,,EMERGENCY,True,4.028163833203801,9.162078980839429,impact,,b3895c34-8439-4fa7-8d03-4dfedf800f53,2f5849a3-92ec-40b9-bd07-5040e84b6b9c
